draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bFT,bMVP,bWP,bER,sigma
66,131.25841764744348,0.930630477979688,0.5356568055523541,3.0,7.0,0.0,-126.8344368794354,0.26515474784524456,0.053045025227373574,0.048687489639536105,0.20354003891084704,0.06039114033005009,0.21049725550263784
67,131.37625359755336,0.997002703269734,0.5550471485189914,3.0,7.0,0.0,-126.31785895938718,0.2578144389490299,0.08342650326995375,0.027702596175990243,0.20851238572733152,0.06788981264202143,0.19297953114553099
68,131.218976828405,0.8257968225792502,0.5593889784633831,3.0,7.0,0.0,-128.64221779693003,0.2776721518862713,0.08577769582754124,0.03577048799474791,0.23086656367150496,0.03805459865352308,0.188079864324113
69,128.02661843716217,0.9853213255091319,0.4880592379583002,3.0,7.0,0.0,-121.64486574619744,0.3052661119118773,0.01969281677121769,0.02938776902355803,0.22283037366286054,0.0472692228128318,0.19539745322299573
70,131.07534207209264,0.9747988209578718,0.5356568055523541,3.0,7.0,0.0,-128.71476652810207,0.2853187001738589,0.0674575195862964,0.03758733245705548,0.23304020514971352,0.015520309379841765,0.191710261287119
71,128.8874324447911,0.8154810663001396,0.5550471485189914,2.0,3.0,0.0,-128.19744427890848,0.2531606631924322,0.09316520860384782,0.030131070279202688,0.19075138326099753,0.03415786446718685,0.18956451607063157
72,129.32283653940482,0.9546399535450633,0.5593889784633831,3.0,7.0,0.0,-127.74532300253941,0.28436697142299866,0.05700505088103937,0.009308708128761745,0.23559497315030015,0.017708918701606298,0.1853460459157297
73,130.4015629120542,0.8464674046013895,0.4880592379583002,3.0,7.0,0.0,-122.90400972336114,0.2941091976471806,0.09667163817961491,0.03148378761719094,0.21614915494632353,0.04223553265045644,0.20930920711889883
74,130.47141009519865,0.9486662608636433,0.5356568055523541,3.0,7.0,0.0,-129.30717609435004,0.2564103451310144,0.045820026032914164,0.025103600723701734,0.22341684786750723,0.06060278165912136,0.19294115454066604
75,129.55428354723813,0.9882045038524759,0.5550471485189914,3.0,7.0,0.0,-126.23362284773933,0.24871907776557786,0.0769505821634768,0.04456055869616135,0.19401367571445216,0.028231571255426458,0.19917459928720105
76,130.41172153355888,0.9603044784731471,0.5593889784633831,2.0,3.0,0.0,-127.66517986043537,0.27300905563831895,0.06812888999958334,0.020630817199733083,0.2507794433204377,0.03716326950999,0.202316481005947
77,122.7430965509556,0.530053695782252,0.4880592379583002,3.0,7.0,0.0,-117.99988894649108,0.2662478811442953,0.06314889061318217,-0.024511632022334678,0.1737869068719689,0.09402438878754271,0.19117696524851638
78,131.2040164200077,0.9753663921924699,0.5356568055523541,2.0,7.0,0.0,-128.7653464852989,0.2700425164402735,0.04997595262984611,0.021478115679120724,0.23788448349213565,0.046624517925804826,0.196456241311663
79,128.406093080011,0.9289579382580396,0.5550471485189914,2.0,7.0,0.0,-127.00074419394826,0.25243801980176045,0.09954723863330235,0.03806374866693585,0.233101012124377,0.05468698472596576,0.19366289046623703
80,132.0440279150109,0.9811430739473634,0.5593889784633831,3.0,7.0,0.0,-129.3311787645705,0.2727582852842635,0.0609987559009534,0.030694372794226828,0.1980252507219703,0.06342177355422272,0.2042901594896101
81,130.15521542048845,1.0,0.4880592379583002,3.0,7.0,0.0,-121.18910591846206,0.3048282992833136,0.06988322883820594,0.059446992154647015,0.21888261707884704,0.04699794256432053,0.2139964728118372
82,131.47931936267608,0.9883200733499778,0.5356568055523541,3.0,7.0,0.0,-130.03298385700668,0.28361963832599857,0.08367375343383159,0.055637321366680176,0.17788416355601228,0.05653146276673817,0.20791420573332803
83,129.07701578681153,1.0,0.5550471485189914,3.0,7.0,0.0,-127.09688733662058,0.3041777427320451,0.044894638932529,0.028887493656694484,0.18079390783256866,0.07052643411476155,0.19492633322365613
84,131.5491284028393,0.9474664692552137,0.5593889784633831,2.0,7.0,0.0,-129.80978625872592,0.2999326261056031,0.06914939773391418,0.058344987275820076,0.20992143563248655,0.05588803101563769,0.18973292307088443
85,125.5215856419066,0.8556303577803377,0.4880592379583002,2.0,7.0,0.0,-121.39216045355542,0.2260498299520059,0.1072119091326814,0.04413033172484106,0.14967516793414487,0.09121314398171795,0.21797316728042643
86,129.72837068313592,0.7534334786553307,0.5356568055523541,3.0,7.0,0.0,-125.19397265966045,0.28164318168207664,0.05260567747380396,0.04744743685084846,0.20577482131088423,0.02062416195458891,0.18212594265512586
87,128.66642098796848,0.9862139363947688,0.5550471485189914,3.0,7.0,0.0,-126.87347372112009,0.2429935679744709,0.0882128736166141,0.047626662706616814,0.22458400518638427,0.022354569855757477,0.2048538672844142
88,129.5048402924965,0.869390619970534,0.5593889784633831,2.0,3.0,0.0,-128.91826209503958,0.30866061604170897,0.07610415787552134,0.06883327932553522,0.21536768011886892,0.061052096893076856,0.1927591710881936
89,132.53336831370936,0.991591320836452,0.4880592379583002,3.0,15.0,0.0,-125.10538786064319,0.2898512517376962,0.07769333279852444,0.045655748270473986,0.19625635444625347,0.06284649538734902,0.18800541583880007
90,128.55171788166558,0.9414438857273808,0.5356568055523541,3.0,7.0,0.0,-125.94407907399838,0.29824912494199335,0.043944317897680975,0.045772348807308745,0.21393879384209094,0.08711185347749081,0.18944439032370164
91,129.44331274185524,0.8713551154938138,0.5550471485189914,3.0,7.0,0.0,-124.71586281701246,0.2867385542734935,0.05053815848650256,0.07194162360651098,0.20621195990138466,0.07479255720985584,0.20710516258261516
92,129.53148604966955,1.0,0.5593889784633831,3.0,7.0,0.0,-128.1245485401259,0.24979566421782173,0.08592063800148471,0.027079092829066648,0.19977556780150077,0.09169116415702801,0.20012208225192263
